sessionId,participant_id,agent_class,target,createdAt,totalHits,totalTrials,hitRate,blocksCompleted,blocksPlanned,sessionComplete,demographics
fNdDAwee8KQkgufLuJhz,y612YV0ACNSi8gs6TnC3QIueQi23,baseline,,2025-10-20T22:09:23.593000+00:00,2228.0,4500.0,0.4951111111111111,30.0,30.0,False,"{'age': 59, 'clarityNow': 4, 'screenTime': 5, 'flow': 'Occasionally', 'psiPossibility': 'I am open to the possibility', 'deepWork': 'Rarely or never', 'meditation': 'Yes, daily', 'gender': 'Female', 'diagnosis': 'Not sure / Self-diagnosed', 'scrolling': 'Frequently', 'autism': 'No'}"
fTQeAg9jxzY37I9dE56f,IFKhCCBbojRgb8OYOlUj173lCwn2,human,,2025-12-18T02:51:50.416000+00:00,2270.0,4500.0,0.5044444444444445,30.0,30.0,True,"{'age': 45, 'clarityNow': 4, 'screenTime': 8, 'flow': 'Rarely', 'psiPossibility': 'I am open to the possibility', 'deepWork': '1–2 hours', 'meditation': 'Occasionally', 'gender': 'Female', 'diagnosis': 'Not sure / Self-diagnosed', 'scrolling': 'Frequently', 'autism': 'No'}"
fcLOb3urG6XHVN8NG76t,ctudEjSvxOSDr8pVN8fDU1YvfNg1,baseline,,2026-01-16T06:07:13.333000+00:00,2278.0,4500.0,0.5062222222222222,30.0,30.0,True,
fewtOFFzYOKNBmyDcVVt,pb2dWWjew9Ybxvf0ZuVsGQwhRTl2,ai_agent,,2025-10-20T22:23:20.715000+00:00,2247.0,4500.0,0.49933333333333335,30.0,30.0,False,
foWGhPq313EMdMunvMnj,vsoK1aC4lyMHlySmRGVLREUYc8k2,ai_agent,,2025-12-24T02:02:16.260000+00:00,1758.0,3600.0,0.48833333333333334,24.0,30.0,False,
fsirEY1jyF4u9JOzl58c,9joTCsso5ePvb65JDWD8ncymAeC3,human,,2025-12-22T16:47:48.281000+00:00,2222.0,4500.0,0.49377777777777776,30.0,30.0,True,"{'age': 26, 'clarityNow': 6, 'screenTime': 9, 'flow': 'Often', 'psiPossibility': 'I am open to the possibility', 'deepWork': '1–2 hours', 'meditation': 'Yes, a few times per week', 'gender': 'Female', 'diagnosis': 'Not sure / Self-diagnosed', 'scrolling': 'Frequently', 'autism': 'Not sure / Self-diagnosed'}"
g8Td5FYHeDBY4ZP2Vhx0,LJn18WLLY5b9UkAOSPFHZBSQsZ83,ai_agent,,2025-10-23T23:33:55.571000+00:00,2268.0,4500.0,0.504,30.0,30.0,True,
gCDeMKWktz6Y2gBwScUF,y612YV0ACNSi8gs6TnC3QIueQi23,baseline,,2025-12-23T22:38:21.721000+00:00,2204.0,4500.0,0.48977777777777776,30.0,30.0,True,"{'age': 59, 'clarityNow': 4, 'screenTime': 5, 'flow': 'Occasionally', 'psiPossibility': 'I am open to the possibility', 'deepWork': 'Rarely or never', 'meditation': 'Yes, daily', 'gender': 'Female', 'diagnosis': 'Not sure / Self-diagnosed', 'scrolling': 'Frequently', 'autism': 'No'}"
gGS7yBaKGfzpwyYPpHoh,NjYWSpVKgjexR6zlVDFLRwjMGb12,human,,2025-12-09T21:04:44.903000+00:00,2201.0,4500.0,0.4891111111111111,30.0,30.0,True,"{'age': 18, 'clarityNow': 3, 'screenTime': 4, 'flow': 'Never', 'deepWork': 'Less than 1 hour', 'meditation': 'Rarely or never', 'gender': 'Female', 'diagnosis': 'No', 'scrolling': 'Sometimes', 'autism': 'No'}"
gH6SCIWV01K9XOLTdqRg,mr70epVjC5OAEHxiGuht2h2T6qH2,ai_agent,,2026-01-26T16:44:20.799000+00:00,2239.0,4500.0,0.49755555555555553,30.0,30.0,True,
gQebzxy2VOE5iFsGGUYy,GkDR0s3OA6eW6Maa6bFVoy37y6b2,human,,2026-01-02T21:50:35.055000+00:00,2257.0,4500.0,0.5015555555555555,30.0,30.0,True,"{'age': 46, 'clarityNow': 10, 'screenTime': 3, 'flow': 'Often', 'psiPossibility': 'Yes, it is definitely possible', 'deepWork': '1–2 hours', 'meditation': 'Occasionally', 'gender': 'Female', 'diagnosis': 'Not sure / Self-diagnosed', 'scrolling': 'Frequently', 'autism': 'Yes'}"
gWBTcKbqsterezwZVmhD,y612YV0ACNSi8gs6TnC3QIueQi23,human,,2025-10-26T23:38:32.895000+00:00,2251.0,4500.0,0.5002222222222222,30.0,30.0,True,"{'age': 59, 'clarityNow': 4, 'screenTime': 5, 'flow': 'Occasionally', 'psiPossibility': 'I am open to the possibility', 'deepWork': 'Rarely or never', 'meditation': 'Yes, daily', 'gender': 'Female', 'diagnosis': 'Not sure / Self-diagnosed', 'scrolling': 'Frequently', 'autism': 'No'}"
gladfd4MMSodB0YfX8Lc,bAPCMH5yZaakKYcafgqybX42Ctk2,human,,2025-12-14T01:48:08.656000+00:00,2190.0,4500.0,0.4866666666666667,30.0,30.0,True,"{'age': 26, 'clarityNow': 6, 'screenTime': 5, 'flow': 'Often', 'psiPossibility': 'I am skeptical', 'deepWork': '1–2 hours', 'meditation': 'Rarely or never', 'gender': 'Male', 'diagnosis': 'No', 'scrolling': 'Sometimes', 'autism': 'No'}"
gs40hNF4ZDIEaMswzeo7,a0xrSPv0u4PSW6q88X2qQmR8Fcu2,ai_agent,,2025-11-19T18:36:04.049000+00:00,2248.0,4500.0,0.49955555555555553,30.0,30.0,True,
gtp9q81RtODcEQT4TSyo,NWKjx0BNt4PzTlPM2h8SDX3cA132,human,,2025-12-09T20:41:25.949000+00:00,2259.0,4500.0,0.502,30.0,30.0,True,"{'age': 54, 'clarityNow': 3, 'screenTime': 2, 'flow': 'Occasionally', 'deepWork': '1–2 hours', 'meditation': 'Rarely or never', 'gender': 'Male', 'diagnosis': 'No', 'scrolling': 'Rarely', 'autism': 'No'}"
hAwhdyXwSXXyyFFiInpF,mr70epVjC5OAEHxiGuht2h2T6qH2,ai_agent,,2026-01-26T16:30:17.865000+00:00,2252.0,4500.0,0.5004444444444445,30.0,30.0,True,
hV8sbxODtUoggsXL08KX,I8Fesxc9gYMypdf9O0TRZULuBBQ2,ai_agent,,2026-01-23T02:04:08.313000+00:00,2242.0,4500.0,0.49822222222222223,30.0,30.0,True,
hZ95RjMNgSRhdxPGK5we,Aq2dLPa7cJQg3XGThdhAPjL0VEi2,human,,2025-12-15T13:02:39.804000+00:00,2285.0,4500.0,0.5077777777777778,30.0,30.0,True,"{'age': 25, 'clarityNow': 7, 'screenTime': 7, 'flow': 'Often', 'psiPossibility': 'Yes, it is definitely possible', 'deepWork': '1–2 hours', 'meditation': 'Yes, a few times per week', 'gender': 'Female', 'diagnosis': 'Yes', 'scrolling': 'Frequently', 'autism': 'Yes'}"
hiOph5kLkQaokvGHQAod,y612YV0ACNSi8gs6TnC3QIueQi23,baseline,,2025-12-23T22:44:49.713000+00:00,2201.0,4500.0,0.4891111111111111,30.0,30.0,True,"{'age': 59, 'clarityNow': 4, 'screenTime': 5, 'flow': 'Occasionally', 'psiPossibility': 'I am open to the possibility', 'deepWork': 'Rarely or never', 'meditation': 'Yes, daily', 'gender': 'Female', 'diagnosis': 'Not sure / Self-diagnosed', 'scrolling': 'Frequently', 'autism': 'No'}"
hnsKRszQKKs5MMypiWbL,ctudEjSvxOSDr8pVN8fDU1YvfNg1,baseline,,2026-01-16T06:05:52.692000+00:00,2254.0,4500.0,0.5008888888888889,30.0,30.0,True,
hqhCvmUDEhbieqvcTpAr,ZMO2YYSTZ9f4hPZqQffebxAmnyp1,ai_agent,,2026-01-27T01:55:26.329000+00:00,2254.0,4500.0,0.5008888888888889,30.0,30.0,True,
hsZ2nBx5HRcgGIFmflI5,y612YV0ACNSi8gs6TnC3QIueQi23,human,,2025-10-26T23:51:56.736000+00:00,2197.0,4500.0,0.4882222222222222,30.0,30.0,True,"{'age': 59, 'clarityNow': 4, 'screenTime': 5, 'flow': 'Occasionally', 'psiPossibility': 'I am open to the possibility', 'deepWork': 'Rarely or never', 'meditation': 'Yes, daily', 'gender': 'Female', 'diagnosis': 'Not sure / Self-diagnosed', 'scrolling': 'Frequently', 'autism': 'No'}"
i5qaFAKt6MLjvEqv1wBk,wvToPbdcnOhWXWmVQHA2pBinMb43,baseline,,2026-01-29T19:46:52.675000+00:00,2263.0,4500.0,0.5028888888888889,30.0,30.0,True,
i9ps6ieXWfBxzJyJxcK3,xyjncyhmgBfLqncgbus7bZvsnO62,human,,2025-12-10T02:06:25.488000+00:00,2204.0,4500.0,0.48977777777777776,30.0,30.0,True,"{'age': 35, 'clarityNow': 9, 'screenTime': 7, 'flow': 'Often', 'deepWork': 'More than 2 hours', 'meditation': 'Occasionally', 'gender': 'Male', 'diagnosis': 'Yes', 'scrolling': 'Frequently', 'autism': 'No'}"
iQearGMcNmMkRJfGwSrt,PPYPtp0xGgdNa2HgQPeHJXu45QG2,human,,2025-12-20T18:46:03.295000+00:00,2221.0,4500.0,0.4935555555555556,30.0,30.0,True,"{'age': 32, 'clarityNow': 8, 'screenTime': 5, 'flow': 'Often', 'psiPossibility': 'Yes, it is definitely possible', 'deepWork': 'More than 2 hours', 'diagnosis': 'Yes', 'autism': 'Yes', 'meditation': 'Yes, daily', 'scrolling': 'Frequently', 'gender': 'Female'}"
iYomisTZW6cY18GuZTVG,I8Fesxc9gYMypdf9O0TRZULuBBQ2,ai_agent,,2026-01-23T01:37:53.757000+00:00,2242.0,4500.0,0.49822222222222223,30.0,30.0,True,
